"","Rank","Company","City","State","RetailSales2014","USASalesGrowth","WorldwideRetailSales","USAPercentageOfWorldwideSales","Stores2014","Growth"
"80",80,"Hudson's Bay","Ontario"," Canada",5174000,25410,7937000,6520,165,23670
"81",81,"Alimentation Couche-Tard","Tempe"," Ariz.",5167000,610,8983000,5750,4044,500
"82",82,"Defense Commissary Agency","Fort Lee"," Va.",4890000,250,4890000,10000,179,0
"83",83,"Neiman Marcus","Dallas",NA,4823000,380,4823000,10000,87,240
"84",84,"Jack in the Box","San Diego"," Calif.",4781000,120,4781000,10000,2888,80
"85",85,"Ascena Retail Group","Suffern"," N.Y.",4713000,80,4850000,9720,3834,20
"86",86,"Burlington Coat Factory","Burlington"," N.J.",4707000,690,4761000,9890,530,410
"87",87,"Ikea North America Services","Conshohocken"," Pa.",4611000,790,38437000,1200,40,530
"88",88,"Williams-Sonoma","San Francisco",NA,4591000,660,4682000,9810,594,220
"89",89,"Save Mart Supermarkets","Modesto"," Calif.",4518000,250,4518000,10000,217,360
"90",90,"Panera Bread Company","St. Louis"," Mo.",4487000,460,4487000,10000,1880,580
"91",91,"Advance Auto Parts","Roanoke"," Va.",4379000,640,4406000,9940,4098,190
"92",92,"Michaels Stores","Irving"," Texas",4277000,350,4738000,9030,1170,200
"93",93,"True Value Co.","Chicago",NA,4117000,580,3891000,9800,4602,240
"94",94,"Domino's Pizza","Ann Arbor"," Mich.",4116000,920,8915000,4620,5067,160
"95",95,"Belk","Charlotte"," N.C.",4110000,180,4110000,10000,297,70
"96",96,"Chipotle Mexican Grill","Denver"," Colo.",4069000,2790,4108000,9900,1766,1180
"97",97,"Sonic","Oklahoma City"," Okla.",4033000,390,4033000,10000,3518,0
"98",98,"Stater Bros. Holdings","San Bernardino"," Calif.",3910000,160,3910000,10000,167,60
"99",99,"Price Chopper Supermarkets","Schenectady"," N.Y.",3890000,280,3890000,10000,135,230
"100",100,"Dell","Round Rock"," Texas",3868000,580,3868000,10000,NA,NA
